,artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
227,Sean Kingston,My Girlfriend,+,+,+,=,-,=,+,-,-,-,+,+,5.412349424,4.781721751
228,Michael Jackson,Do You Know Where Your Children Are (Original Version),+,+,+,+,-,=,+,+,+,+,+,+,18.33813197,-16.7418735
229,Dwight Yoakam,The Heartaches Are Free,+,+,+,+,-,=,-,-,-,-,+,+,-11.38831075,9.806196569
230,Stunna 4 Vegas,PUNCH ME IN 5,+,+,+,+,-,=,+,+,-,-,+,+,-10.77745264,12.8136973
231,Nat King Cole,The Game Of Love,+,+,+,=,-,=,+,+,-,-,+,+,-13.78101712,-10.28159819
232,Israel Houghton,Mercies - Kirk Franklin,+,+,+,+,-,-,+,-,-,-,+,+,-3.423242685,10.60815796
233,KISS,All For The Love Of Rock & Roll,+,-,+,=,-,=,+,-,-,+,-,+,9.800840442,2.097494613
234,The Vaccines,All In Vain,+,+,+,+,-,=,+,-,+,-,+,+,11.81497842,9.778308532
235,Langhorne Slim,Put It Together,+,+,+,+,-,=,-,+,+,-,+,+,24.51316337,12.91895835
236,KMFDM,Strut (Disco Balls Mix) by Andy Selway,=,+,+,+,-,=,+,-,+,+,-,+,-19.55264865,10.51765903
237,Snupo,Kali Kali Maha Kali,-,+,+,+,-,=,-,+,+,+,-,+,-19.18198661,-22.86425681
238,Rush,Far Cry,+,+,+,+,-,=,-,-,-,+,+,+,16.66226232,11.25309678
239,Bullet For My Valentine,Disappear,+,-,=,+,-,=,+,-,+,+,-,+,11.25540463,-16.56296194
240,*NSYNC,I Want You Back - Radio Edit,+,+,+,=,-,-,+,-,+,+,+,+,32.24751129,0.188075624
241,UB40,After Tonight,+,+,-,+,-,=,+,-,+,-,+,+,-16.03941111,22.1230431
242,XTC,Reel By Reel - Unused Single Recording,=,+,+,+,-,=,+,+,-,+,+,+,-20.65342918,18.85925994
243,Billy Idol,One Breath Away - Paul Oakenfold Remix,+,+,+,+,-,=,+,-,+,-,+,+,0.937059343,8.133448035
244,Chromeo,Woman Friend,+,+,-,=,-,=,+,+,+,-,+,+,-3.838323595,-1.556138539
245,I Set My Friends On Fire,Versace Tamagotchi,+,+,+,=,-,=,+,+,-,+,+,+,0.339091734,5.008775495
246,Faster Pussycat,It's Only Rock and Roll - Live,+,+,+,+,-,=,+,-,+,+,-,+,-12.47991869,10.43647844
247,*NSYNC,Up Against The Wall,+,+,+,+,-,-,+,-,-,+,+,+,8.204762387,14.21128685
248,Little Mix,Love Me Like You - Christmas Mix,+,+,+,+,-,=,-,-,-,+,+,+,17.3116852,-8.951753644
249,PAX JAPONICA GROOVE,Vivaldi Four Seasons Winter 2.,-,+,+,+,-,=,-,-,+,-,+,+,-24.96506911,20.9605227
