,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
201,Dean Lewis,7 Minutes,+,+,+,=,-,-,+,=,-,+,+,-3.637599485751244,-0.595655943674181
202,Big Brother & The Holding Company,"Magic of Love - Live at the Winterland Ballroom, San Francisco, CA - April 1968",+,+,+,+,-,-,-,+,+,+,+,-9.014773429380526,-17.97598897275599
203,Pilot,Lady Luck,-,+,+,+,-,-,+,+,-,+,+,-20.878758256760584,-7.7115499429023995
204,Chicago,Just You 'N' Me - 2002 Remaster,+,+,+,=,-,-,-,+,-,+,+,2.834451474979695,-3.5716421065145902
205,Johnny Cash,I Walk the Line,-,+,+,=,-,-,+,+,-,+,+,-14.51073774443975,1.2667530260953597
206,Bob Dylan,If You Ever Go to Houston,+,+,+,=,-,-,-,=,-,+,+,2.08480411860468,-2.447998732898738
207,Gallant,Compromise (feat. Sabrina Claudio),+,+,+,+,-,-,+,+,-,-,+,27.987252197283766,2.2028473447260324
208,Liz Harris,Celebrate,-,+,+,=,-,-,-,=,-,+,+,-18.07077791904931,3.514960222703546
209,The Everly Brothers,The Price of Love (Single Version),+,+,+,+,-,-,-,=,+,+,+,-5.5537325265829915,-16.50019143961859
210,Little Mojo,Something On Your Mind,+,-,+,+,-,-,+,+,-,-,+,-4.631061735533229,7.795573090260077
211,Culture Club,The Medal Song - Remastered 2003,+,+,+,+,-,-,-,=,-,+,+,-3.8962007659625915,10.733717352598138
212,Culture Club,The Medal Song,-,+,+,+,-,-,-,=,-,+,+,-10.656728021310833,12.553370629376534
213,Boogie Down Productions,And You Don't Stop (feat. D-Nice),-,+,+,=,-,-,-,=,-,+,+,-14.757981222563158,-3.8492305263145923
214,George Clinton,Heart Trouble,-,+,+,+,-,-,+,+,-,+,+,-12.57486126456435,21.37025622454774
215,*NSYNC,Gone,+,+,+,+,-,-,-,=,-,+,+,30.069818655474712,-18.321949284354
216,Jeanna de Waal,The World According to Chris,+,+,+,+,-,-,+,=,-,+,+,28.61488864729423,17.077015359753783
