,artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
156,Waka Flocka Flame,Mood,-,+,+,=,-,=,-,+,+,+,+,+,-18.967535350607367,-10.414676794934858
157,Andre Nickatina,U Got Talent (feat. Equipto),-,+,+,=,-,=,-,+,-,-,+,+,-19.243480200355794,9.81372167166838
158,Kierra Sheard,Done Did It,-,+,+,=,-,=,+,+,-,-,+,+,-21.185326464814345,5.519905149218468
159,Ministry,Kleptocracy,-,+,+,=,-,=,-,-,+,+,+,+,-15.10676648187538,-0.2504334381525216
160,Owl City,Gold,+,+,+,=,-,=,-,+,-,-,+,+,24.916873408433833,-1.6438326473099842
161,Juanes,Querer Mejor - Spanglish Version,+,+,+,=,-,=,-,+,-,-,+,+,10.961370570219222,-4.975355471108109
162,Sham 69,Cold Blue In The Night (Live),-,-,+,=,-,=,+,-,+,+,+,+,-23.34715331676933,17.22735337292518
163,Jay Park,On It (feat. DJ Wegun),+,+,+,=,-,=,+,+,-,-,+,+,9.827192920559956,4.764294362252318
164,Queens of the Stone Age,Who'll Be The Next In Line - Non-Lp Version,+,-,+,=,-,=,-,+,+,+,+,+,-12.14501647667603,2.5854991671901626
165,Twisted Sister,I'll Take You Alive - 2018 Remaster,-,-,+,=,-,=,-,-,-,+,+,+,-14.23498218740221,9.111759021944232
166,Pop Smoke,Paranoia (feat. Gunna & Young Thug),+,+,+,=,-,-,+,+,-,-,+,+,15.058658611639908,-12.010337120122323
167,Daddy X,Peaceful Day,-,-,+,=,-,=,-,-,+,-,+,+,-22.244486004976537,9.787489498618973
168,Underoath,"To Whom It May Concern - Live In Boise, Idaho, 2007",-,-,+,=,-,-,-,-,+,+,+,+,-12.96722330490607,-10.349582485439575
169,Scarface,Go (feat. Nina),-,+,+,=,-,=,+,+,+,-,+,+,-24.09373202371596,-1.1775462149859748
170,Saosin,Second Guesses,+,-,+,=,-,=,-,-,+,+,+,+,9.864907986173828,2.0576071920139
171,Bon Jovi,I'll Be There For You,+,-,+,=,-,=,-,+,-,-,+,+,-10.775898460461866,-24.28359740043148
172,Bowling For Soup,Kevin Weaver,-,-,+,=,-,=,+,+,-,-,+,+,-24.37877073139766,19.589021951098037
173,Foo Fighters,Iron and Stone,+,-,+,=,-,=,-,-,+,+,+,+,2.8138916265903577,5.6738045516905125
174,The Police,"Every Little Thing She Does Is Magic - Live From River Plate Stadium, Buenos Aires",+,-,+,=,-,=,-,+,-,+,+,+,7.889183271403493,0.21202975823848202
175,Senses Fail,Orlando and a Miscarriage,+,-,+,=,-,=,-,-,-,+,+,+,0.9445683914660435,-3.826643578363635
176,Gary Moore,I Can't Quit You Baby,+,-,+,=,-,=,-,-,+,-,+,+,-6.986223031167231,-8.94378018177457
177,The Rolling Stones,I Can't Quit You Baby,+,-,+,=,-,=,-,+,+,-,+,+,15.72051962187019,12.615217641558564
178,Jack Ü,Febreze (feat. 2 Chainz),+,+,+,=,-,=,+,+,-,+,+,+,31.16761657276399,-19.874892079714517
179,Ministry,United Forces,-,-,+,=,-,=,-,-,+,-,+,+,-13.46006602264536,25.57986980550353
180,The Ruts,H-Eyes,-,-,+,=,-,=,-,+,+,+,+,+,-22.291849169008056,13.21888864707315
181,Bad Bunny,Callaita,+,+,+,=,-,=,+,+,-,+,+,+,57.80333960762667,6.856541605790178
182,Jason Aldean,Amarillo Sky,+,+,+,=,-,=,-,+,-,-,+,+,35.096628228002835,-14.653779908123154
183,Montgomery Gentry,Look Some More,+,-,+,=,-,=,-,+,+,+,+,+,-8.011712986703317,-7.089829502816966
184,Motograter,Collapse,-,+,+,=,-,=,-,-,+,+,+,+,-24.146836961168972,2.657957489331288
185,Cockney Rejects,It's Up To You,-,-,+,=,-,=,-,+,-,=,+,+,-23.04596470845875,-4.708570535678934
186,Waterparks,Easter Egg,+,-,+,=,-,=,-,-,+,+,+,+,11.141783719704257,-18.1285380341746
187,Armor For Sleep,Stand in the Spotlight,+,-,+,=,-,=,-,-,-,-,+,+,-9.24433889488314,9.841414015693923
