,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
138,Too $hort,Female Funk,-,=,=,=,--,++,--,--,=,=,=,-11.873500047014467,-7.844010382467533
139,St Francis Hotel,Milkshake - Remix,++,=,=,=,--,=,+,=,+,-,=,32.243593149618654,-5.840167688898961
140,Billy Idol,Venus,=,=,=,=,--,=,-,--,+,-,=,-5.728316036705047,-4.378154040361504
141,Rihanna,Diamonds - Gregor Salto Downtempo Remix,+,=,=,=,--,+,--,--,++,-,=,2.0661512121346486,-9.631980239920008
142,SHINee,Better Off,++,=,=,=,--,++,--,--,++,-,=,10.870517306677842,10.184934840203974
143,Jurassic 5,After School Special - Album Version (Edited),-,=,=,=,--,++,++,--,++,=,=,-11.55908826303019,-0.04420748557375126
144,Marion Meadows,Lucky Girl,-,=,=,=,--,-,++,++,++,=,=,-11.116659335269452,10.93629547647585
145,Jesse McCartney,Take Your Sweet Time,++,=,=,=,--,-,++,--,++,-,=,20.267644600761663,19.865917606385743
146,Ronn Matlock,You Got the Best of Me,--,=,=,=,--,-,+,-,++,=,=,-16.089523125027366,-13.126396064752177
147,Montell Jordan,Get It on Tonite (Re-Recorded),-,=,=,=,--,=,-,--,++,=,=,-11.680520740968776,-3.0476280359940917
148,The Searchers,Can't Help Forgiving You - Stereo,--,=,=,=,--,-,++,--,++,=,=,-13.979570286428837,-10.446210903451139
149,Montell Jordan,Get It on Tonite (Re-Recorded) [Remastered],--,=,=,=,--,=,-,--,++,=,=,-13.678882639667783,-2.966983337130922
150,Def Leppard,Slang,++,=,=,=,--,=,--,--,++,-,=,22.046917243360678,-10.507670825890767
151,LL Cool J,Loungin,++,=,=,=,--,=,++,--,++,=,=,16.61487527577464,3.707426469151868
152,UB40,Your Eyes Were Open,=,=,=,=,--,=,++,++,=,=,=,-3.017921374627348,-11.6194442269084
153,Rita Ora,Are We Gonna Play?,+,=,=,=,--,=,++,--,++,=,=,2.6693701210833707,5.342337447302662
154,Reel Big Fish,S.R.,=,=,=,=,--,+,-,--,+,=,=,-7.011250371250031,-11.369988949394282
155,98º,Don't Stop The Love,+,=,=,=,--,-,++,--,+,-,=,3.1822183439076346,-6.782648702320759
156,Mase,Gettin' It,--,=,=,=,--,++,++,--,++,=,=,-14.940853303959692,-9.458694556284426
157,The Monkees,Dyin' of a Broken Heart,-,=,=,=,--,=,=,-,=,=,=,-10.00925510270038,13.596153581467433
158,Juicy J,Purple Kush (feat. Gorilla Zoe & Project Pat),++,=,=,=,--,++,-,--,++,=,=,12.273813930609906,20.191307655514592
159,Lisa Stansfield,Love Can,--,=,=,=,--,=,++,--,+,=,=,-15.316242803438438,6.060245113177796
160,B & B,Червячки,--,=,=,=,--,++,=,--,++,=,=,-15.191804963852297,9.168708508003345
161,The Stranglers,Big in America,=,-,=,=,--,=,--,++,++,=,=,-4.857823318677676,-7.606439551288867
162,Jackie DeShannon,You've Really Got A Hold On Me - 2005 Digital Remaster,-,-,=,=,--,=,++,--,++,=,=,-9.488410214207944,1.6704355730833849
163,Dennis Brown,Fancy Make Up,-,=,-,=,--,++,--,++,++,=,=,-8.725734196231802,-4.254586493029646
164,Suga Free,Pussy Sells,--,=,=,=,--,++,--,--,++,=,=,-12.71772314554441,-3.9647241538547635
165,Tears For Fears,Johnny Panic And The Bible Of Dreams - Instrumental Version,++,=,=,=,--,=,--,++,++,-,=,9.49739314705845,0.9332543618276706
166,Early James,It Doesn't Matter Now,++,=,=,=,--,-,=,--,++,-,=,19.256446356515085,-5.261024586349615
167,Little Richard,Rip It Up - Take 4,=,=,=,=,--,++,+,--,++,=,=,-0.483018717572746,1.6325332036147382
168,Svlm,Six Speed,++,=,=,=,--,=,--,--,=,-,=,21.331416632502734,-3.4239494146289506
169,Blu Warta,This Is Luv,-,=,=,=,--,++,=,--,++,=,=,-11.489757768007895,1.6895865317147585
170,Too $hort,Don't Stop Rappin',-,=,=,=,--,++,=,--,=,=,=,-9.730371516304292,-4.344503094776274
171,Beastie Boys,Intergalactic,++,=,=,=,--,=,-,=,++,=,=,19.339425310699657,-3.17751712344126
172,Lonestar,When Cowboys Didn't Dance,++,-,=,=,--,=,++,--,+,-,=,8.906622012065025,11.114755000091304
173,War,Why Can't We Be Friends,-,=,=,=,--,=,++,--,++,=,=,-9.426002712295887,3.2236590836564814
174,EPMD,You Gots To Chill,--,=,=,=,--,++,=,--,++,=,=,-14.708521733020829,-3.6924953202993582
175,Tonight Alive,The Other Side,++,-,=,=,--,-,--,--,++,=,=,23.261118068705834,19.653309515969546
176,Eric B. & Rakim,Eric B. Is President - Dub Version,=,=,=,=,--,++,--,++,++,=,=,-6.59558840588667,-1.0391572688794457
177,Alextbh,Like That,++,=,-,=,--,=,++,--,++,=,=,22.085704200781436,-9.562826045403408
178,The Foundations,Little Sex Machine,--,=,=,=,--,=,=,--,++,=,=,-15.72230542706738,-4.029273829679064
179,Maseke,Roho Inauma,--,=,=,=,--,++,--,--,++,-,=,-14.822320568469786,-6.526501699342396
180,XTC,The Loving,=,=,=,=,--,-,-,--,++,=,=,-5.8853967268272145,-8.258588801007821
181,Keisha White,Don't Care Who Knows,--,-,=,=,--,+,+,--,++,=,=,-14.78641596476861,19.23909003709108
182,The Dropsteppers,Foolish Pride,--,=,-,=,--,-,++,++,++,=,=,-14.321240626821233,5.911630051446162
183,Buddy Holly,"You're So Square (Baby, I Don't Care)",++,=,=,=,--,=,++,-,++,=,=,22.244839591479746,-5.60117809260598
184,C-Bo,"Don't Want It (feat. Vitnomb, Lil Bo$$ & Thug Misses)",--,=,=,=,--,++,=,--,++,=,=,-12.354013314363103,5.0695021149909465
185,Vampire Weekend,We Belong Together (feat. Danielle Haim),++,=,=,=,--,-,++,--,++,-,=,26.937087204927735,11.504252734888786
186,The Outfield,Unrespectable,=,=,=,=,--,-,--,--,++,=,=,-1.9289812224611216,-9.43430349870076
187,Buck-O-Nine,I Can't Believe,=,-,=,=,--,=,=,=,++,=,=,-7.781543053213912,-5.654777328020469
188,War,All Around The World,-,=,=,=,--,++,++,--,++,=,=,-10.362967200391795,4.796790595469941
189,Carole King,My Favorite Things,=,=,=,=,--,-,++,--,++,-,=,-3.9706743613877085,-10.43522339429157
190,Average White Band,Is It Love That You're Running From - Single Edit,--,=,=,=,--,-,=,-,++,=,=,-14.061170149129563,-12.469138844598357
191,Neil Sedaka,Living In A Fantasy,--,=,=,=,--,-,-,--,++,=,=,-14.632216718152725,-1.7919892532052653
192,Wham!,Last Christmas - Remastered,++,=,=,=,--,-,++,--,++,=,=,52.94967446259247,-13.545390938460447
193,Fats Domino,Let The Four Winds Blow,-,-,=,=,--,=,++,=,++,=,=,-9.38714451079467,4.179624001565639
194,The Undisputed Truth,Smiling Faces Sometimes,=,-,=,=,--,-,++,--,+,=,=,-6.94058233456671,-9.625961813648876
195,The Del McCoury Band,The Lord is Writing Down Names,--,=,=,=,--,-,++,--,++,=,=,-14.939488292132193,-9.439278983319348
196,Big D and the Kids Table,Giving It Up,-,-,=,=,--,=,=,=,++,=,=,-8.544036442995196,0.278256521985604
197,Chip Wickham,Red Planet,--,-,=,=,--,-,++,++,++,-,=,-12.922158843224695,-9.049475068120351
198,N.W.A.,8 Ball,+,=,=,=,--,++,--,--,+,=,=,2.6619942550860665,5.167213974809043
199,Celly Cel,Tap In,-,=,-,=,--,++,-,--,=,=,=,-10.844017500476514,-7.1371745737326275
200,Bass Santana,While You Slept On Me (Bonus),=,=,=,=,--,++,++,--,++,-,=,0.10762425181915386,-8.56791808109327
201,Baby Keem,hooligan,++,=,=,=,--,+,++,--,++,-,=,57.50386336660431,0.12030710126121966
202,*NSYNC,Thinking Of You (I Drive Myself Crazy) - Remix,++,-,=,=,--,-,-,--,++,-,=,7.793417092905814,8.33632225907017
203,George Michael,I Knew You Were Waiting (For Me) - Edited Remix,=,=,=,=,--,=,--,=,++,=,=,-8.029475241700766,-11.798852793429376
204,Howard Jones,No One Is To Blame,-,=,=,=,--,-,--,-,++,=,=,-11.263151718843407,7.317184496093891
205,Fatback Band,On the Floor,-,=,=,=,--,+,--,++,=,=,=,-9.908211349122354,-8.760237535821354
