,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
240,Jesper Kyd,Order of the Grey Seers,-,+,+,+,-,+,+,+,+,+,+,45.868450162292255,9.313695281389231
241,George McCrae,Cut the Rug,-,+,+,+,-,+,-,-,+,+,+,8.633802017325849,-8.89221431260062
242,French Montana,Smoke Break Intermission,-,+,-,=,-,+,-,-,-,+,+,4.567646835640785,-16.18515420648255
243,Slow Gherkin,Tap Dancing,-,+,+,+,-,+,-,-,+,+,+,-11.725624279223346,-19.49468245227964
244,Stevie Nicks,Blue Lamp - 2016 Remaster,-,+,-,=,-,-,+,-,-,+,+,-2.518360533592207,16.077911305716082
245,Migos,Packs,-,+,+,+,-,+,-,-,+,+,+,15.981610169576287,0.3115093960209174
246,Sham 69,No Means No,-,+,+,+,-,-,-,-,+,+,+,20.978592312027768,-10.775789533143891
247,New Kids On The Block,Twisted,-,+,-,=,-,-,+,-,-,+,+,0.16853446005690603,-2.86897204647825
248,Reel People,Perfect Sky,-,+,+,+,-,+,+,-,-,-,+,-29.234536084853662,-21.057337036626212
249,Patty Loveless,Jealous Bone,-,+,+,+,-,+,+,-,-,+,+,11.704828283891542,0.20641547750190412
